,new_cases,new_deaths,new_tests,new_vaccinations,reproduction_rate,stringency_index,people_vaccinated,people_fully_vaccinated,total_boosters,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,new_people_vaccinated
475,310294.71428571426,2165.8571428571427,1753569.0,3224138.5,1.3449655231846274,73.61,116391428.33333333,20509925.984058462,0.0,16315535.133019358,281313.8659479105,187037.72117749526,1813.5298126990926,11512.732567930274,218.95328799752727,198.50352929916605,131.97944452791714,1.5282939764318582,1.2796812098010246,,,,,,,,,275675157.4331427,194.5246868873315,1.2373710559793851,1602767.969496854,1.1309613108501904,0.17557633564242878,5.69552836571642,138969839.98437077,2912933.6071428573,9.806130106699369,8.21292943612516,1.4472420972857898,0.0,2055.4536111599814,1422907.4761904755,0.10040463342901082,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,1403579.6666666567
476,310294.71428571426,2165.8571428571427,1719588.0,3281956.25,1.3307353945814793,73.61,117795008.0,21319945.338721268,0.0,16625829.847305072,296472.21288668603,189203.5783203524,1962.2236902501131,11731.685855927803,218.95328799752727,209.19971505435134,133.507738504349,1.5282939764318582,1.384604084397334,,,,,,,,,277394745.4331427,195.73807992713176,1.2133930398002468,1625578.0848712556,1.1470568146757225,0.18265512623852542,5.474798438967004,142251796.23437077,3206073.6428571427,10.037714815983158,8.311970241151625,1.5043995005155946,0.0,2262.302041727367,1489034.0,0.10507071994139996,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,1403579.6666666716
477,371040.71428571426,2716.6299417147816,1402367.0,3339774.0,1.3147788643297622,73.61,119886252.0,22238983.854003742,0.0,16996870.561590787,312828.51643961685,191920.20826206717,2131.8638822714415,11993.503349534874,261.817493607072,220.7412150462019,135.4246743418808,1.9169358375318195,1.5043073088144951,,,,,,,,,278797112.4331427,196.72763228330405,0.9895523561722649,1632182.9420141128,1.1517174006335322,0.19342750541884804,5.169895552520306,145591570.23437077,3215106.0714285714,10.273379319696014,8.459534710903917,1.5692496237865239,0.0,2268.675595137291,1461010.142857143,0.10309327225012165,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,2091244.0
478,371040.71428571426,2970.4610909064836,1658700.0,2354286.0,1.2952536581756247,73.61,121263287.0,23201375.01543892,0.0,17367911.2758765,326002.4617280814,194890.66935297367,2308.3647347966885,12255.320843141944,261.817493607072,230.0371472809768,137.52072107674022,2.0960467348593825,1.6288516217388378,,,,,,,,,280455812.4331427,197.89806091802157,1.1704286347175423,1652070.6562998272,1.165750770308025,0.19916970324491626,5.020843952206494,147945856.23437077,3091356.5952380956,10.439504824532008,8.556702444370382,1.6371588402296906,0.0,2181.354240784708,1513859.4285714286,0.10682247688775164,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,1377035.0
479,371040.71428571426,3196.1894407823547,1723912.0,2174159.0,1.2745845282005863,73.61,122538179.0,24184425.786682397,0.0,17738951.990162212,336328.71428571426,198086.85879375602,2491.9697861831714,12517.138336749016,261.817493607072,237.3236618301893,139.77604852804154,2.255327451301331,1.7584088711640053,,,,,,,,,282179724.4331427,199.11450510234255,1.216444184320967,1664149.9420141128,1.174274277806026,0.20388277424167087,4.904779247385842,150120015.23437077,2949876.785714286,10.592920026197701,8.646662660381253,1.7065258609112202,0.0,2081.521829678992,1552116.857142857,0.10952203617458234,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,1274892.0
480,371040.71428571426,3318.714285714286,1768190.0,2215380.0,1.2508615475428304,73.61,123811908.0,25196994.0363334,0.0,18109992.704447925,345006.71428571426,201405.5730794703,2671.3665982413336,12778.955830356086,261.817493607072,243.44711977440997,142.11783319702698,2.341784668985456,1.8849966602819377,,,,,,,,,283947914.4331427,200.3621931759069,1.2476880735643645,1680789.7991569699,1.1860158617438141,0.20702270448694088,4.830388060470346,152335395.23437077,2822287.785714286,10.749243905668404,8.736540811612347,1.7779757236951688,0.0,1991.4911917848724,1461091.2857142857,0.10309899793430218,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,1273729.0
481,371040.71428571426,3318.714285714286,1920107.0,2729335.0,1.2245099644316508,73.61,125376952.0,26278262.236617804,0.0,18481033.418733638,353684.7142857142,204724.2873651846,2836.060475792354,13040.773323963158,261.817493607072,249.5705777186306,144.45961786601245,2.341784668985456,2.001209616361023,,,,,,,,,285868021.4331427,201.71707845625994,1.3548852803530453,1706633.2857142857,1.2042518035582594,0.20914092517700503,4.781464934008763,155064730.23437077,2759861.25,10.941833996567109,8.846975025888158,1.8542732617323285,0.0,1947.441149603515,1484157.6190476182,0.10472662782706592,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,1565044.0
482,371040.71428571426,3318.714285714286,1945299.0,1660726.7356382832,1.1964068155632301,73.61,126328970.0,27297355.0,0.0,18852074.13301935,362362.71428571426,208043.0016508989,3000.754353343374,13302.590817570228,261.817493607072,255.69403566285132,146.80140253499792,2.341784668985456,2.117422572440108,,,,,,,,,287813320.4331427,203.08973996990764,1.372661513647676,1734023.2857142857,1.2235790117965866,0.21111045730693362,4.736856775153016,156725456.97000906,2536516.7122340403,11.05901987260449,8.914152280844842,1.926183513839156,0.0,1789.8425227215998,1419648.8095238102,0.1001746921028117,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,952018.0
483,371040.71428571426,3318.714285714286,1804954.0,1342587.081263889,1.1672293064235628,73.61,126704151.0,27507360.0,0.0,19223114.847305063,371040.71428571426,211361.71593661318,3165.448230894395,13564.4083111773,261.817493607072,261.817493607072,149.14318720398336,2.341784668985456,2.233635528519194,,,,,,,,,289618274.4331427,204.36336982819904,1.2736298582914132,1746218.4285714286,1.2321842715810392,0.21469914793707384,4.657680338317364,158068044.05127296,2259463.9738431675,11.15375685726194,8.940626181224776,1.9410020986003462,0.0,1594.3457732554,1272734.7142857143,0.08980799143902153,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,375181.0
484,391279.5714285714,3831.4285714285716,1504698.0,1870625.0,1.137529839982333,73.61,127696675.0,28385461.0,0.0,19614394.418733634,373931.9795918367,215193.14450804176,3324.705177996365,13840.50695142569,276.09864024839214,263.85765741297485,151.84675850191243,2.703571297929057,2.3460120228616566,,,,,,,,,291122972.4331427,205.42513001738467,1.0617601891856374,1760837.142857143,1.2424996762972351,0.21405012753904548,4.671802869248873,159938669.05127296,2049585.545271739,11.285753786472677,9.010661661434844,2.002963547601016,0.0,1446.249238252373,1115774.7142857143,0.0787324215044182,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,,992524.0
