,feature,permutation_importance,single_feature_impact,mutual_information_importance,combined_importance,vif
0,new_cases_per_million,0.31190500628389517,0.9985803618143758,4.323462388915639,1.8779825856713035,inf
1,new_cases,0.2881198007499056,0.9985803618143595,4.313623286525575,1.8667744830299464,inf
2,total_deaths,0.0013684093781584528,0.9982955825679811,3.998065106477438,1.6659096994745257,inf
3,total_deaths_per_million,0.0020649947390450228,0.9982622926880821,3.991039814272815,1.6637890338999808,inf
4,total_cases,0.0014167179625156567,0.9983312891030232,3.952513166815302,1.650753724626947,inf
5,total_cases_per_million,0.0008904616363310414,0.9983322180627181,3.9499906189439504,1.649737766214333,inf
6,people_vaccinated,0.0006737860298415832,0.9276325312182285,3.306643491369958,1.4116499362060093,inf
7,people_vaccinated_per_hundred,0.000881628594629813,0.9276358142016055,3.3047526331700583,1.411090025322098,inf
8,total_vaccinations,0.000976724064968626,0.927569431466096,3.14623982369547,1.3582619930755115,1890.4253368017555
9,people_fully_vaccinated_per_hundred,0.0018244993417277922,0.9249480186648661,3.089071966559797,1.338614828188797,inf
10,people_fully_vaccinated,0.0009546365992993521,0.9249824570483132,3.0841386706153355,1.336691921420983,inf
11,total_tests,0.0005170353463102906,0.9981854454260168,2.9955424227071914,1.3314149678265061,249.83948605902114
12,stringency_index,0.0964766405888842,0.651073946038726,2.316311792131385,1.0212874595863317,4.6233012716205115
13,tests_per_case,0.0079662611268416,0.9045387714684359,2.087445310235288,0.9999834476101884,1.9221074871640873
14,new_people_vaccinated_smoothed,0.018569549570526544,0.8246199491391566,1.834262585461227,0.89248402805697,15.107809213375356
15,new_tests_smoothed,0.1011684758239616,0.9094877390434437,1.5336049111802272,0.8480870420158775,39.58966488730491
16,new_vaccinations_smoothed_per_million,0.029074504346393713,0.789682995277152,1.699916141139132,0.839557880254226,19.331610939781434
17,new_people_vaccinated,0.0024177057988082895,0.818146347608581,1.2936096596107847,0.704724571006058,6.039836125402875
