,feature,permutation_importance,single_feature_impact,mutual_information_importance,combined_importance,vif
0,new_cases,0.3119093874432882,0.9985803618143595,4.319757362686431,1.876749037314693,inf
1,new_cases_per_million,0.2749956899824763,0.9985803618143758,4.333224747135905,1.8689335996442524,inf
2,total_deaths_per_million,0.0012081373630430825,0.9982622926880821,4.003435710801408,1.6676353802841775,inf
3,total_deaths,0.0007885499786611571,0.9982955825679811,3.9917911351967477,1.6636250892477966,inf
4,total_cases,0.0020983366303358062,0.9983312891030232,3.9548721296323004,1.651767251788553,inf
5,total_cases_per_million,0.001598792992444631,0.9983322180627181,3.951185971706182,1.650372327587115,inf
6,people_vaccinated_per_hundred,0.0013692180452448577,0.9276358142016055,3.318850709804706,1.4159519140171855,inf
7,people_vaccinated,0.0007329058349501815,0.9276325312182285,3.3051423179018613,1.41116925165168,inf
8,total_vaccinations,0.0003583668986414601,0.927569431466096,3.1451704470951207,1.3576994151532862,inf
9,total_vaccinations_per_hundred,0.0011816875159523343,0.9275613534636068,3.143200760053576,1.3573146003443783,inf
10,people_fully_vaccinated_per_hundred,0.0011579102683912268,0.9249480186648661,3.089615146064922,1.3385736916660598,inf
11,people_fully_vaccinated,0.0011501060800348296,0.9249824570483132,3.0842354945104455,1.3367893525462646,inf
12,total_tests,0.0005940609604411451,0.9981854454260168,2.992315149316958,1.330364885234472,256.44953954537993
13,stringency_index,0.09659845694852957,0.651073946038726,2.3115588138882224,1.0197437389584927,4.685787388514917
14,tests_per_case,0.00730993418255228,0.9045387714684359,2.100742967646248,1.004197224432412,1.928704182925604
15,new_people_vaccinated_smoothed,0.01776312372220885,0.8246199491391566,1.8335804076802362,0.8919878268472005,16.638880902256947
16,new_tests_smoothed,0.0882913887486313,0.9094877390434437,1.5427435651881813,0.8468408976600855,120.36415076343951
17,new_vaccinations_smoothed_per_million,0.005858087414259927,0.789682995277152,1.7058532753612754,0.8337981193508958,inf
18,new_vaccinations_smoothed,0.01003911287444743,0.7896829954602023,1.6999958857843818,0.8332393313730105,inf
19,total_boosters,0.0006060714794113853,0.22311780504334777,2.168160885734284,0.7972949207523478,6634.345531263282
20,new_people_vaccinated,0.0018314478784112963,0.818146347608581,1.2833974762783718,0.7011250905884546,6.076563360836666
21,new_tests,0.0021390144929919865,0.9110678283166531,1.1345382227502516,0.6825816885199657,92.48280895918919
