,feature,permutation_importance,single_feature_impact,mutual_information_importance,combined_importance,vif
0,new_cases,0.27798749893344377,0.983368204985314,3.3421544901080575,1.5345033980089384,9007199254740992.0
1,new_cases_per_million,0.27428454131193225,0.9833682049869701,3.344778372168073,1.5341437061556586,inf
2,total_cases,0.0012752401506441302,0.9991116606773608,3.435642174904828,1.478676358577611,inf
3,total_cases_per_million,0.00048711710983642134,0.9991195389693266,3.435079319267727,1.4782286584489632,inf
4,total_deaths,0.0009835982402126575,0.9990710861953318,3.398333895277793,1.4661295265711125,inf
5,total_deaths_per_million,0.000731237751522218,0.9990608503778625,3.397267391352409,1.4656864931605977,inf
6,people_vaccinated_per_hundred,0.002238294832907961,0.9283985138493723,2.814822151277135,1.2484863199864717,inf
7,people_vaccinated,0.0005698298726463325,0.9284001420670555,2.810927283352723,1.2466324184308082,inf
8,total_tests,0.0012515758256128385,0.9991087031746161,2.5971373689535104,1.1991658826512464,252.67348538520284
9,total_vaccinations,0.0005267508020732059,0.9283245422081818,2.650348749709706,1.1930666809066537,2286.777613256505
10,people_fully_vaccinated_per_hundred,0.0007510676123250182,0.9255071005890791,2.6118675340172537,1.179375234072886,inf
11,people_fully_vaccinated,0.0011134041880362488,0.9255081463566278,2.608479613405508,1.1783670546500573,inf
12,tests_per_case,0.024544179168432788,0.9004943600220446,1.7463757128656123,0.89047141735203,1.9773274918755128
13,stringency_index,0.08456484478477977,0.6790216168775918,1.879422438681619,0.8810029667813302,4.5617650729047625
14,new_people_vaccinated_smoothed,0.003970564168892299,0.8196261873686481,1.611913436415486,0.8118367293176755,17.131789249874263
15,new_tests_smoothed,0.050254470758656855,0.9146320510642882,1.4224375165441976,0.7957746794557142,29.849680242333747
16,new_vaccinations_smoothed,0.06423768169993034,0.7815686482127848,1.5299802897834827,0.7919288732320661,22.13533263193043
17,new_people_vaccinated,0.005293751541011504,0.8258349459722099,1.2509802452787127,0.694036314263978,7.070564145388055
18,new_tests,0.003531552688518569,0.9088072076140564,1.1268340309621783,0.6797242637549177,5.51966378031164
