,feature,permutation_importance,single_feature_impact,mutual_information_importance,combined_importance,vif
0,new_cases,0.3120129492122918,0.983368204985314,3.355197577739631,1.5501929106457455,inf
1,new_cases_per_million,0.25030136301687156,0.9833682049869701,3.352669698827826,1.5287797556105558,inf
2,total_cases_per_million,0.0010488793059904911,0.9991195389693266,3.4393698032986513,1.4798460738579895,inf
3,total_cases,0.0010922290974359373,0.9991116606773608,3.4383898120854752,1.4795312339534241,inf
4,total_deaths,0.0006313512048723435,0.9990710861953318,3.397737368952877,1.4658132687843601,inf
5,total_deaths_per_million,0.001323881594873133,0.9990608503778625,3.3947792324174224,1.4650546547967194,inf
6,people_vaccinated_per_hundred,0.0005353205118790117,0.9283985138493723,2.815028711924098,1.2479875154284499,inf
7,people_vaccinated,0.0011462207536182545,0.9284001420670555,2.808621716916517,1.2460560265790634,inf
8,total_tests,0.0005331208090060934,0.9991087031746161,2.5960154675107794,1.1985524304981339,265.4476529193474
9,total_vaccinations,0.0016616712167011106,0.9283245422081818,2.65113927760702,1.1937084970106344,inf
10,total_vaccinations_per_hundred,0.0007523583093626441,0.9283248099883087,2.6514756583908614,1.1935176088961776,inf
11,people_fully_vaccinated,0.00044641165907317594,0.9255081463566278,2.594164108200973,1.1733728887388915,inf
12,people_fully_vaccinated_per_hundred,0.0004699468182032929,0.9255071005890791,2.592492149941326,1.1728230657828695,inf
13,tests_per_case,0.019560384865514015,0.9004943600220446,1.7474168078008785,0.8891571842294791,1.9834906732242792
14,stringency_index,0.08283800128794658,0.6790216168775918,1.8941230830536155,0.8853275670730513,4.614417847228085
15,new_people_vaccinated_smoothed,0.003685869094471328,0.8196261873686481,1.6077194354248414,0.8103438306293204,17.25199775741533
16,new_tests_smoothed,0.04868943436609885,0.9146320510642882,1.4018527379855792,0.7883914078053221,30.383234579928555
17,new_vaccinations_smoothed_per_million,0.024241146932892567,0.7815686482067874,1.5288939022178911,0.778234565785857,inf
18,new_vaccinations_smoothed,0.013905914115477192,0.7815686482127848,1.538788624632788,0.7780877289870167,inf
19,total_boosters,0.0002477715194248775,0.2207255081541103,1.8895270669857678,0.703500115553101,inf
20,total_boosters_per_hundred,6.328751517032938e-05,0.22072550470944152,1.8811381838855454,0.7006423253700524,inf
21,new_people_vaccinated,0.005361983667299386,0.8258349459722099,1.24983301228324,0.693676647307583,7.108911423602392
22,new_tests,0.0037815032737965383,0.9088072076140564,1.1170323434618563,0.6765403514499031,5.522723192686423
