,feature,permutation_importance,single_feature_impact,mutual_information_importance,combined_importance,vif
0,new_cases_per_million,0.3328921566144055,0.9985803618143758,4.323820581466324,1.8850976999650353,inf
1,new_cases,0.24304061664488125,0.9985803618143595,4.320845988101075,1.8541556555201053,inf
2,total_deaths_per_million,0.001168649597648641,0.9982622926880821,4.006780748236288,1.6687372301740062,inf
3,total_deaths,0.0011471770290278015,0.9982955825679811,3.9934090249356333,1.6642839281775474,inf
4,total_cases_per_million,0.0010452731542843763,0.9983322180627181,3.9514286074478435,1.6502686995549487,inf
5,total_cases,0.0006224653781445877,0.9983312891030232,3.9446501162788143,1.6478679569199939,inf
6,people_vaccinated_per_hundred,0.0005367147875085188,0.9276358142016055,3.310478241358945,1.4128835901160197,inf
7,people_vaccinated,0.0012677106348521372,0.9276325312182285,3.3010394809053247,1.409979907586135,inf
8,total_vaccinations_per_hundred,0.0012598134638257096,0.9275613534636068,3.167278405816595,1.3653665242480093,inf
9,total_vaccinations,0.002310070760816618,0.927569431466096,3.1445058407757807,1.3581284476675644,inf
10,people_fully_vaccinated,0.0004421632379361329,0.9249824570483132,3.1003451598346907,1.3419232600403133,inf
11,people_fully_vaccinated_per_hundred,0.0009354800586316214,0.9249480186648661,3.099771913079016,1.3418851372675045,inf
12,total_tests,0.0009302761470497245,0.9981854454260168,2.99428325338207,1.331132991651712,256.4437060687944
13,stringency_index,0.098461478022087,0.651073946038726,2.2824184136155328,1.0106512792254485,4.682542716531379
14,tests_per_case,0.007076273847400394,0.9045387714684359,2.082700826305236,0.9981052905403573,1.9286951963444272
15,new_people_vaccinated_smoothed,0.01807486386661661,0.8246199491391566,1.8185791641366138,0.887091325714129,16.63779160070714
16,new_tests_smoothed,0.10329182121243947,0.9094877390434437,1.5550489474202518,0.855942835892045,42.34219477117709
17,new_vaccinations_smoothed_per_million,0.006402207575008379,0.789682995277152,1.7094858650686082,0.8351903559735896,inf
18,new_vaccinations_smoothed,0.009821597331489818,0.7896829954602023,1.692067545122793,0.830524045971495,inf
19,total_boosters,0.00038342605295897946,0.22311780504334777,2.1612852202673927,0.7949288171212331,6633.259353454636
20,new_people_vaccinated,0.0021710112231710043,0.818146347608581,1.3046889466487643,0.7083354351601722,6.048464963479674
