,feature,permutation_importance,single_feature_impact,mutual_information_importance,combined_importance,vif
0,new_cases,1.163684560141529,0.9985803618143595,4.319647881213692,2.1606376010565267,1.5699713412010026
1,total_deaths_per_million,0.02921349024947506,0.9982622926880821,4.000589053505344,1.6760216121476337,2.464227032010184
2,stringency_index,0.4102631483013563,0.651073946038726,2.321296925152154,1.1275446731640788,2.6960716207918676
3,tests_per_case,0.01335732039420181,0.9045387714684359,2.086568526179658,1.0014882060140986,1.3950718495811798
4,new_people_vaccinated,0.014488797751094018,0.818146347608581,1.2913341759258459,0.7079897737618402,1.4637278031265566
