,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
260,5400619.0,0.0,92323.29,86752.0,0.0,1166.57,3843.25,0.0,65.7,61.74,0.0,0.83,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64392594.0,731534.0,45.75,0.52,1021881.0,0.73,0.09,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
261,5400619.0,0.0,92323.29,86752.0,0.0,1166.57,3843.17,0.0,65.7,61.73,0.0,0.83,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65325779.0,933185.0,46.41,0.66,1001929.0,0.71,0.09,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
262,5400619.0,0.0,92323.29,86752.0,0.0,1166.57,3843.08,0.0,65.7,61.73,0.0,0.83,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66279462.0,953683.0,47.09,0.68,978621.0,0.7,0.09,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
263,5400619.0,0.0,92323.29,86752.0,0.0,1166.57,3842.99,0.0,65.7,61.73,0.0,0.83,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67436031.0,1156569.0,47.91,0.82,981472.0,0.7,0.09,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
264,5400619.0,0.0,92323.29,86752.0,0.0,1166.57,3842.91,0.0,65.69,61.73,0.0,0.83,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68928440.0,1492409.0,48.97,1.06,1050871.0,0.75,0.08,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
265,5400619.0,0.0,92323.29,86752.0,0.0,1166.57,3842.82,0.0,65.69,61.73,0.0,0.83,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70269975.0,1341535.0,49.92,0.95,1116532.0,0.79,0.08,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
266,5992532.0,0.0,84559.0,94503.0,0.0,1107.29,4263.9,0.0,60.17,67.24,0.0,0.79,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71257836.0,987861.0,50.62,0.7,1085254.0,0.77,0.08,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
267,5992532.0,0.0,84559.0,94503.0,0.0,1107.29,4263.8,0.0,60.16,67.24,0.0,0.79,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71967230.0,709394.0,51.13,0.5,1082091.0,0.77,0.08,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
268,5992532.0,0.0,84559.0,94503.0,0.0,1107.29,4263.71,0.0,60.16,67.24,0.0,0.79,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73110041.0,1142811.0,51.94,0.81,1112037.0,0.79,0.07,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
269,5992532.0,0.0,84559.0,94503.0,0.0,1107.29,4263.61,0.0,60.16,67.24,0.0,0.79,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74196729.0,1086688.0,52.71,0.77,1131038.0,0.8,0.07,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
270,5992532.0,0.0,84559.0,94503.0,0.0,1107.29,4263.51,0.0,60.16,67.24,0.0,0.79,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75619781.0,1423052.0,53.72,1.01,1169107.0,0.83,0.07,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120.0,0.0,0.0,0.0,0.0
