,feature,permutation_importance,single_feature_impact,mutual_information_importance,combined_importance,vif
0,new_cases,1.1668179830565149,0.8082388633358679,0.38980217435556686,0.7882863402493165,1.0831607331812632
1,new_deaths_smoothed,0.545639417163104,0.21859187773111455,0.26923430549346516,0.3444885334625612,3.096940579493928
2,total_cases_per_million,0.059721622376431416,0.8090867517275648,0.07912905430175599,0.3159791428019174,2.999522598661824
3,tests_per_case,0.02890721348363732,0.649765240963124,0.014565051213952351,0.23107916855357125,3.1103782944192497
4,new_vaccinations_smoothed,0.1638422851374345,0.47933246056093215,0.04231176907383638,0.22849550492406767,2.0861482334957535
5,stringency_index,0.012210196984733001,0.38518295048796114,0.08705434053664796,0.16148249600311404,4.825152917493811
