,feature,permutation_importance,single_feature_impact,mutual_information_importance,combined_importance,vif
0,new_cases,1.2059669118074705,0.81516074264616,0.3721122866300477,0.7977466470278928,1.1849891937392987
1,new_deaths_smoothed,0.41365956834821616,0.21784599025240947,0.2779765054687555,0.30316068802312707,8.10502900210042
2,new_tests,0.04184704466602303,0.7782700196590748,0.027742834033506192,0.2826199661195347,80.64928548896675
3,new_tests_smoothed,0.01434335545275034,0.7626277851819646,0.04366618581421999,0.2735457754829783,123.94457954371941
4,total_tests,0.004443734895695006,0.7576887954171929,0.04704738971295086,0.26972664000861296,55537601304.343216
5,total_tests_per_thousand,0.0035428631594940584,0.7581014236608199,0.04651894429277181,0.2693877437043619,55537258866.47178
6,new_people_vaccinated_smoothed,0.2639361196474437,0.4904262018369139,0.04838533162402037,0.267582551036126,15.435469902303478
7,tests_per_case,0.022015994838137855,0.653180007689214,0.02605653604995961,0.23375084619243716,7.043234091920272
8,total_vaccinations,0.0068000941602526675,0.48449361269912594,0.06564388866133353,0.1856458651735707,1856113913.6102858
9,new_vaccinations,0.02573942246066412,0.4842077819416658,0.041054519202782025,0.18366724120170397,10.462364944839697
10,total_vaccinations_per_hundred,0.0025089712735337335,0.48438094660441455,0.06285784999475119,0.18324925595756647,1856290258.0079195
11,new_vaccinations_smoothed,0.02729116632420552,0.4861075162823302,0.02941298544326365,0.18093722268326642,29.346159362200655
12,people_vaccinated,0.011550119701665995,0.4861923243916526,0.0441280262247421,0.18062349010602022,638357170.9546748
13,people_fully_vaccinated,0.002353850206310759,0.4802545039970899,0.05491807318893294,0.17917547579744453,267763128.15153506
14,people_vaccinated_per_hundred,0.009036064651552489,0.47161755339570655,0.05186379715745115,0.17750580506823674,638450155.9331272
15,people_fully_vaccinated_per_hundred,0.003630855512687958,0.4673864681791413,0.03468981296634066,0.1685690455527233,267795648.60401613
16,stringency_index,0.0035857943535907654,0.38929940333443747,0.05883624919721164,0.1505738156284133,5.5841455034396255
